id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
bK14UJ2G,3695651,"       (2014 UG192)","2014 UG192",,,Y,N,23.4,,,,,,,,,,,,,,,,,,,"JPL 8",2456960.5,56960,20141030.0000000,J2000,.4716744964117238,1.613165996477237,.8522767374603194,14.17255087695856,30.22086734076035,284.672101816019,32.52520259011678,2.374055255494155,.4810447567522124,2456892.886327605540,20140823.3863276,748.3711129720037,2.04892844071733,.0634189,24.680733313,3.04371,4.178,.00087897,.0023519,.00017542,.02128,.00152,.004131,.082528,.0034613,.001052,.023695,1.6366,APO,"Otto Matic",23,2014-10-23,2014-11-15,40,,,8,.47842,,,,,
bK14UJ2J,3695735,"       (2014 UJ192)","2014 UJ192",,,Y,N,21.7,,,,,,,,,,,,,,,,,,,"JPL 14",2459000.5,59000,20200531.0000000,J2000,.06959018493722453,1.360891303485781,1.266186625996745,15.62223867627229,233.8763336455043,84.0189996764833,258.6968247851008,1.455595980974818,.6208245975625594,2459163.675195719740,20201110.1751957,579.8739312414622,1.58760829908682,.317798,123.67744766,3.64077,4.806,1.0104E-6,3.4948E-7,1.7E-6,3.8454E-5,1.4382E-5,.00027235,.00032132,3.738E-7,2.3914E-7,.00056482,.00022337,AMO,"Otto Matic",961,2014-10-28,2017-06-15,50,,,2,.4889,,,,,
bK14UJ2L,3695734,"       (2014 UL192)","2014 UL192",,,Y,N,25.5,,,,,,,,,,,,,,,,,,,"JPL 8",2459000.5,59000,20200531.0000000,J2000,.2282131940071635,1.378680525058174,1.064047438919175,5.456529433357303,38.38431092199832,24.5214956082612,145.403185615325,1.693313611197173,.6088476198092174,2458761.682961245891,20191005.1829612,591.2809515668405,1.61883901866349,.0821124,31.955682708,3.60486,4.772,7.3581E-5,.00016261,2.4056E-5,.0016157,5.0236E-5,.001521,.21725,.00019971,.00010771,.31458,.10461,AMO,"Otto Matic",42,2014-10-31,2014-12-12,35,,,6,.35558,,,,,
bK14UJ2M,3695736,"       (2014 UM192)","2014 UM192",,,Y,N,25.8,,,,,,,,,,,,,,,,,,,"JPL 5",2456961.5,56961,20141031.0000000,J2000,.5392470598245381,1.967842734995931,.9066893259522976,11.13251262679295,33.32878161524106,309.7418296666544,15.20089692129298,3.028996144039565,.3570413305242157,2456918.925385741828,20140918.4253857,1008.286630210123,2.76053834417556,.0229831,8.944333027,2.44417,3.660,.0020254,.0081824,.00022098,.029771,.0010179,.0080353,.10482,.012595,.0022269,.028216,6.2888,APO,"Otto Matic",3,2014-10-30,2014-11-02,26,,,8,.59291,,,,,
bK14UJ2R,3695745,"       (2014 UR192)","2014 UR192",,,Y,N,20.9,,,,,,,,,,,,,,,,,,,"JPL 7",2459000.5,59000,20200531.0000000,J2000,.5073221229167805,2.054260120714957,1.012088515250563,7.331450079247452,256.9868519122256,55.11553536382344,354.5868788963568,3.096431726179351,.3347502584319731,2459016.670625615046,20200616.1706256,1075.428594697136,2.94436302449592,.0706951,27.512412067,2.2553,3.607,.00025499,.00094671,7.0962E-5,.0039532,.011278,.0072822,.49762,.001427,.00023141,1.4977,.74342,APO,"Otto Matic",24,2014-10-28,2014-11-21,31,,,7,.43467,,,,,
bK14UJ2T,3695816,"       (2014 UT192)","2014 UT192",,,Y,N,19.6,,,,,,,,,,,,,,,,,,,"JPL 24",2459000.5,59000,20200531.0000000,J2000,.5442137354626113,1.431846972619806,.6526161830395503,37.47854551791311,59.47353593576592,225.6737679810291,143.680152802621,2.211077762200063,.5752533619303671,2458750.731528729400,20190924.2315287,625.8112056780591,1.71337770206176,.255358,99.37767286,3.15964,4.333,1.7772E-7,8.7434E-8,2.8632E-7,3.5055E-5,1.4021E-5,3.5371E-5,9.8714E-5,1.3502E-7,5.269E-8,.00014956,5.7321E-5,APO,"Otto Matic",1877,2014-10-30,2019-12-20,127,,,1,.61417,,,,,
bK14UJ2U,3695746,"       (2014 UU192)","2014 UU192",,,Y,N,19.2,,,,,,,,,,,,,,,,,,,"JPL 11",2459000.5,59000,20200531.0000000,J2000,.4811093229007848,2.33554476871037,1.211892406431654,12.78964559252255,175.8665352570666,136.8808967514873,237.6864974772591,3.459197130989086,.2761352050233328,2459443.447875887124,20210816.9478759,1303.709173807015,3.56936118769888,.243903,94.91973051,1.9948,3.373,5.6913E-6,1.0385E-5,1.8644E-5,7.2474E-5,.0003773,.00062266,.0033517,1.5381E-5,1.8417E-6,.015091,.0086953,AMO,"Otto Matic",873,2014-10-30,2017-03-21,36,,,3,.44101,,,,,
bK14UK6C,3695824,"       (2014 UC206)","2014 UC206",,,Y,N,19.2,,,,,,,,,,,,,,,,,,,"JPL 14",2459000.5,59000,20200531.0000000,J2000,.8416910615412357,2.667884888206186,.4223500245821003,11.64642965258407,205.4043402235017,135.9608223782317,112.5267457569722,4.913419751830272,.2261796060602866,2458502.989425474643,20190119.4894255,1591.655438218619,4.35771509436994,.101637,39.55407129,.962342,2.708,2.8492E-6,3.3962E-5,2.2296E-6,2.7574E-5,5.1255E-5,4.5206E-5,.0089169,6.2548E-5,4.3189E-6,.029924,.030393,APO,"Otto Matic",287,2014-04-05,2015-01-17,51,,,4,.58383,,,,,
bK14UK6F,3695838,"       (2014 UF206)","2014 UF206",,,Y,N,18.8,,,,,,,1.387,,0.028,6.83,,,,,,,,0.026,"JPL 46",2459000.5,59000,20200531.0000000,J2000,.5420964405666696,2.428449469525374,1.111995655999652,48.10739071023856,114.6119111660972,12.90892899000851,148.6571454120436,3.744903283051097,.2604416673576417,2458429.711358841802,20181107.2113588,1382.267298671697,3.78444161169527,.137568,53.53733856,1.44612,2.909,4.3939E-8,2.2358E-7,5.1408E-8,1.9772E-5,4.1852E-6,3.147E-5,6.8912E-5,3.4479E-7,3.5968E-8,.0001867,.00019089,AMO,"Otto Matic",1458,2014-10-31,2018-10-28,266,2,1,1,.31313,,,,,
bK14UL0H,3695933,"       (2014 UH210)","2014 UH210",,,Y,N,21.1,,,,,,,0.404,,0.039,,,,,,,,,0.155,"JPL 5",2456959.5,56959,20141029.0000000,J2000,.6544039152143114,2.563217636682024,.8858379796909331,22.0566922152892,151.7794830887999,162.0019608372468,12.67500591461957,4.240597293673115,.240173921905242,2456906.725719536610,20140906.2257195,1498.913775251728,4.10380225941609,.100118,38.96292206,1.22102,3.014,.010266,.077949,.00062626,.11166,.23446,.34036,.63555,.12896,.010956,.23887,68.375,APO,"Otto Matic",24,2014-10-20,2014-11-13,15,,,9,.3057,,,,,
bK14UL0V,3699902,"       (2014 UV210)","2014 UV210",,,Y,N,26.9,,,,,,,,,,0.5559,,,,,,,,,"JPL 24",2459000.5,59000,20200531.0000000,J2000,.1316237689676903,1.155455146805629,1.003369785509956,.5984704453573974,92.15083832483234,351.5618294206296,134.9062961452537,1.307540508101302,.7935502572416607,2458830.496531518771,20191212.9965315,453.6574674568706,1.24204645436515,.0194658,7.575505386,3.81054,5.438,8.8044E-9,1.1717E-8,5.4118E-9,8.5284E-7,4.5268E-5,4.6802E-5,1.3442E-5,1.3259E-8,1.2071E-8,1.8977E-5,6.9006E-6,APO,"Otto Matic",1837,2014-10-25,2019-11-05,66,2,1,0,.53925,,,,,
